PROJ.4 +proj=utm +zone=29 +ellps=WGS84 +datum=WGS84 +units=m +no_defs,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,Name,Population,X,Y,COUNTY_08,DIST_08,CLAN_08,DEMAND_MW,HOSP_MAIN_LOC,HOSP_ALT-NAME,Clinics,ClinDem,HC,HCDem,SumHlthDem,Pri_Schools,PriSchDem,Sec_Schools,SecSchDem,Both_PriSec,BothPriSecDem,SumEduDem,demand (household) > target household penetration rate,FullProdDem,demand (productive) > projected productive demand,demand (social infrastructure) > projected health facility demand per year,demand (social infrastructure) > projected education facility demand per year
Settlement,Baloma A,3751,392783.0992,836515.6034,Gbarpolu,Belleh,Bade,,,,0,0,0,0,0,1,250,0,0,1,600,850,0.3,0,0,0,2063.173101
Settlement,Fish Town City,3566,624125.0723,574775.7558,River Gee,Potupo,Kayken,,,,0,0,1,12500,12500,2,500,0,0,3,1800,2300,0.3,0,0,54024.27969,5582.703684
Settlement,Gbilita A,3514,361032.4392,807522.9525,Gbarpolu,Bopolu,Koninga,,,,0,0,0,0,0,1,250,0,0,0,0,250,0.3,0,0,0,606.8156178
Settlement,Kai,3477,300261.912,708847.8768,Montserra,St. Paul River,Kai,,,,0,0,0,0,0,1,250,2,1000,0,0,1250,0.3,0,0,0,3034.078089
Settlement,Karloken,3452,640107.9765,531026.9525,Maryland,Karluway#1,Gedebo,,,,0,0,1,12500,12500,4,1000,0,0,2,1200,2200,0.3,0,0,54024.27969,5339.977437
Settlement,Borkeza,3227,450012.5368,874233.989,Lofa,Zorzor,Zeayeama,,,,1,2000,0,0,2000,1,250,0,0,0,0,250,0.3,0,0,8643.88475,606.8156178
Settlement,Totaquelleh A,3207,345457,779801,Gbarpolu,Bopolu,Bondi Man,,,,1,2000,0,0,2000,1,250,0,0,0,0,250,0.3,0,0,8643.88475,606.8156178
Settlement,Geata,2977,425252.9163,761480.0465,Bong,Yeallequelleh,Garyea,,,,1,2000,0,0,2000,0,0,0,0,1,600,600,0.3,0,0,8643.88475,1456.357483
Settlement,Bopolu,2940,335637.0421,781409.8284,Gbarpolu,Bopolu,Bondi Man,,,,0,0,0,0,0,1,250,0,0,0,0,250,0.3,0,0,0,606.8156178
Settlement,Banlah,2929,490171.6324,757918.1587,Nimba,Meinpea-Mahn,Zahn,,,,0,0,0,0,0,2,500,0,0,0,0,500,0.3,0,0,0,1213.631236
Settlement,Toe,2842,548787.6712,708232.2356,Grand Gedeh,B'hai,B'Hai-Nicko,,,,1,2000,0,0,2000,1,250,0,0,1,600,850,0.3,0,0,8643.88475,2063.173101
Settlement,Wayzohn Community,2727,412711.4874,679408.1336,Grand Bassa,District # 3,Gaye Peter,,,,1,2000,0,0,2000,2,500,0,0,0,0,500,0.3,0,0,8643.88475,1213.631236
Settlement,Juluken # 1,2710,617244,557387,Maryland,Whojah,Dufu,,,,1,2000,0,0,2000,1,250,0,0,1,600,850,0.3,0,0,8643.88475,2063.173101
Settlement,Lugbye,2672,542211.5898,840973.7478,Nimba,Yarmein,Gbeyi,,,,1,2000,0,0,2000,1,250,0,0,1,600,850,0.3,0,0,8643.88475,2063.173101
Settlement,New Yourpea,2667,557123.8947,742970.1659,Nimba,Kparblee,Behwah,,,,1,2000,0,0,2000,0,0,0,0,2,1200,1200,0.3,0,0,8643.88475,2912.714965
Settlement,Gbarnga Siaquelleh,2638,475818.8646,805255.5798,Bong,Panta,Wrunah,,,,0,0,0,0,0,0,0,0,0,1,600,600,0.3,0,0,0,1456.357483
Settlement,Toweh  Town,2553,537487.9377,751633.2763,Nimba,Boe & Quilla,Quella,,,,0,0,0,0,0,1,250,0,0,1,600,850,0.3,0,0,0,2063.173101
Settlement,Gbeleyee,2527,548806.1418,845919.1261,Nimba,Yarmein,Gbeleyee,,,,0,0,0,0,0,1,250,0,0,0,0,250,0.3,0,0,0,606.8156178
Settlement,Gipo,2453,511180.9825,788505.7881,Nimba,Leewehpea-Mahn,Siateh,,,,0,0,0,0,0,0,0,0,0,1,600,600,0.3,0,0,0,1456.357483
Settlement,Gorlu,2399,447424.6123,831329.3608,Lofa,Salayea,Gbarlin,,,,1,2000,0,0,2000,0,0,0,0,1,600,600,0.3,0,0,8643.88475,1456.357483
Settlement,Cestos City,2389,435435.3386,604666.4442,Rivercess,Zarflahn,Boewein Toba,,,,0,0,0,0,0,1,250,1,500,1,600,1350,0.3,0,0,0,3276.804336
Settlement,Morris Farm,2376,348000,722184,Montserra,Todee,Fahn-Seh,,,,0,0,0,0,0,1,250,1,500,1,600,1350,0.3,0,0,0,3276.804336
Settlement,Dinplay,2365,566473.1159,750424.1821,Nimba,Buu-Yao,Frolay,,,,0,0,0,0,0,0,0,0,0,1,600,600,0.3,0,0,0,1456.357483
